0.524556,0.638888,0.055277,0.471377
-1.236779,1.678337,-0.629079,2.017569
0.758319,-0.451876,0.806572,-0.068089
0.232119,0.921420,0.237124,0.693697
1.879511,-0.218720,0.906181,0.367530
0.055642,1.030567,-0.162007,0.541084
0.240526,0.747343,0.647870,0.622712
0.154415,2.108758,-2.181564,1.388616
-0.056677,-0.593638,2.571766,0.715981
-0.023589,0.420481,0.954509,0.834384
0.409655,-0.290390,1.109485,0.142128
0.590026,1.340801,-0.022606,0.566107
1.132543,-0.703344,1.178832,-0.102824
-3.497857,4.207699,1.005875,0.858908
3.305806,-0.604782,-0.152475,0.114165
1.197671,0.591376,0.652315,0.010141
0.615945,-0.656772,1.357078,0.694133
-1.339649,1.912800,0.459165,0.528911
4.170166,-1.693677,0.060290,0.358850
0.040976,2.795352,1.685453,-1.840677
-0.010968,-0.513375,0.264300,2.330217
0.081419,0.069734,0.148363,0.728362
0.266173,-0.362198,0.092546,1.356223
0.406793,0.600288,-0.149543,0.640332
1.320839,-0.290144,0.155988,1.331849
-1.215617,1.861979,1.576813,-0.415565
0.936252,-0.098990,0.389470,1.051789
0.595856,0.260759,0.348621,0.952004
1.954783,0.048134,-0.174858,1.055555
0.906966,0.654322,-0.004237,0.573223
0.536465,-0.006244,-0.059847,0.403537
-2.427616,1.306503,1.067533,2.867023
1.347793,0.362995,0.576037,0.268220
0.923639,0.494852,0.651084,0.168468
0.928765,0.871018,0.313988,-0.031229
1.521791,0.426154,0.015459,0.476243
1.155716,-0.245239,0.486523,0.284135
-0.510253,1.219236,-1.370107,1.833274
1.055378,-1.509227,1.906720,-0.650893
0.334176,0.011185,0.263762,0.333028
0.136680,0.237612,0.575651,0.770979
0.559629,0.696567,0.591571,-0.077516
-0.107131,0.992731,0.311446,0.415702
-11.873503,2.457019,5.764133,5.836536
8.639366,-2.151186,-1.879335,-1.959247
0.897951,0.670331,-0.016027,0.075205
6.269057,-2.067099,-0.912260,-0.755965
-1.591196,1.496825,0.759069,0.204541
0.612558,2.484336,-0.568742,-0.900432
-0.099623,1.338170,2.046365,-0.159466
1.842160,-0.800862,-0.672817,2.039598
0.687060,0.154536,-0.048383,1.177095
0.778737,0.438491,0.140894,0.444361
0.503961,0.926478,0.409984,-0.251255
0.437183,0.588748,0.749065,0.647166
-2.350621,0.788016,2.092517,0.945321
1.660248,0.299814,-0.229790,0.302880
0.505728,0.373329,0.103149,0.114597
0.821965,0.409599,-0.100145,1.097285
0.911078,0.387964,0.084017,0.072022
1.372633,-0.210254,0.064030,0.411444
0.641129,0.237291,-3.183266,3.963286
-0.347424,0.124929,2.330509,-0.036307
0.307606,0.292580,0.700850,0.849815
1.488015,0.615308,0.764596,-0.504148
0.630429,0.426675,0.321951,0.110849
0.221154,0.886920,2.590371,-0.667334
6.067729,5.343847,-11.978933,2.723581
-2.434342,-2.650340,8.479292,-1.176377
0.329731,0.692259,1.441325,0.373110
-0.453353,-1.119488,6.139059,-2.580754
1.145684,1.039133,-0.395745,-0.224369
-0.301617,-0.630282,0.442432,3.114772
0.818197,0.815400,0.867977,0.877908
0.826585,0.741574,0.401995,0.204378
0.712129,0.406763,0.901305,0.075183
0.601558,0.791965,0.929835,0.561648
0.602297,0.443052,0.467682,0.968244
0.897160,0.649319,0.498118,0.581889
5.900835,5.266894,3.231247,-12.876168
-2.429098,-3.241369,-1.284381,8.073047
-0.071286,0.203259,0.728670,1.326441
-0.877868,-0.513038,-2.656505,6.650801
0.887920,0.610627,0.310180,-0.037332
-0.063069,-0.278708,2.855391,0.688798
0.253905,0.457378,4.432778,-3.274072
-0.080896,-0.111482,0.149890,2.902897
0.684856,0.377544,0.637565,0.194357
1.226596,1.050040,-0.802201,0.418121
0.693639,1.137880,0.577825,0.284660
0.184461,0.298582,-1.042107,2.561874
1.155192,-2.563216,0.926074,2.030960
-0.116339,2.242286,0.646841,-0.136370
0.310032,0.888848,0.617469,0.683060
0.952851,1.410295,0.241903,-0.454229
0.508861,0.603110,0.729304,0.108920
0.203696,0.711360,0.931836,0.268990
1.988869,-0.560648,-0.570885,2.367884
-1.261300,1.212121,1.831288,-0.963696
0.408610,0.714831,0.958364,-0.028201
1.020444,0.291105,0.886361,0.218899
0.770925,1.099391,0.514670,0.362992
0.652222,0.490450,0.650981,0.086379
2.946613,-12.031274,5.995155,6.191550
-1.306280,8.011800,-2.483752,-2.453708
0.776756,0.914818,0.461028,0.820290
-2.038245,5.328843,-1.012608,-0.811930
1.992285,-1.476220,1.154116,0.307751
1.709701,1.998696,-0.955346,-1.079139
1.457258,-0.339440,1.967013,-1.228567
-0.937036,1.794564,-0.295022,2.261860
0.656494,0.661301,0.328956,0.796370
0.701624,0.123557,0.920908,0.003316
1.303018,1.055562,0.462063,0.102179
0.976566,0.491365,0.233737,1.198615
1.077277,-2.443812,2.629403,1.027886
-0.128720,2.231640,-0.281031,0.848996
0.247023,0.854708,0.480407,0.643194
0.470868,1.122608,0.113014,0.617184
0.831270,0.510782,-0.003909,0.319441
0.154464,1.655047,0.132064,1.067493
1.450006,-1.260405,0.380482,1.085747
0.366966,1.364815,1.156678,0.053186
0.309237,0.239206,0.810483,0.508577
-0.751518,1.954419,0.455563,0.507284
1.486881,0.463128,0.085991,-0.055894
0.104738,0.103225,0.388288,0.483556
2.185801,0.904726,-1.606663,2.141421
-0.396256,0.276027,1.746263,0.002134
0.063848,0.012078,0.646120,0.150884
-0.293011,0.861965,0.526599,0.631358
1.655995,-0.072683,0.201434,0.177337
-0.091524,0.520085,1.354343,-0.325343
3.337597,-4.355013,1.414770,1.849631
-0.589245,2.136903,-0.227677,0.610396
0.654388,0.644210,0.203119,0.730930
-0.129851,0.940833,0.566235,1.009215
2.287898,-1.114846,0.153586,0.418671
-1.186229,4.299191,-0.457833,-0.134008
1.450702,0.449775,1.606535,-2.782141
-0.137592,-0.076425,0.087693,1.903262
0.679285,0.118319,0.847865,0.745943
0.463066,0.272895,0.903507,1.096252
1.153523,0.916278,0.353410,0.336820
0.347204,0.501839,-0.000938,1.768911
2.335287,-0.883944,1.372208,-0.528945
-0.312995,1.104933,0.454818,0.747394
0.415631,0.575813,0.154346,0.062871
-0.687308,1.643776,-0.332324,0.826262
1.495581,0.887587,0.757678,-0.188397
0.101092,-0.223740,0.663362,0.571968
0.209744,0.353086,0.376182,0.427400
0.913027,1.010808,0.563769,0.048851
1.714683,-0.952025,1.367638,-0.228058
5.081219,-0.344419,-1.101432,-1.323716
3.463080,0.407674,-1.047086,-1.056627
5.122739,-0.341008,-1.920085,-0.798963
1.593025,-0.767407,-0.344406,0.903496
-1.179688,-0.561560,4.274808,0.088728
2.123732,-0.187919,0.464596,-0.670338
2.731585,-2.711974,1.326907,0.886575
1.522404,-0.750435,-0.526275,1.399408
-1.235763,-0.818614,-0.524777,4.359411
-1.420417,-0.919300,3.665194,0.202356
1.567181,0.331940,2.205885,-1.970414
0.841477,0.721104,0.450223,0.156936
0.862201,1.087167,-1.608438,2.281318
-0.974105,-0.685687,0.456515,3.447482
-1.133559,-1.401592,4.984064,-0.246260
-0.356432,1.295547,0.915201,0.136901
-1.820450,1.587437,1.253528,0.478452
-0.234000,1.468526,-0.350812,0.550568
-1.718048,-0.894248,0.066373,4.270592
-0.629005,2.018078,0.872386,-1.048997
0.424787,4.577713,-1.618659,-1.373649
0.429729,4.104897,-1.651480,-1.941039
0.108778,5.212941,-1.803356,-1.629897
-0.467542,2.900088,-0.426503,0.697177
3.287780,-4.555589,1.270089,1.217067
-4.154283,3.961999,1.480612,0.948301
1.074791,1.157029,2.764556,-4.000395
1.058636,1.714960,-3.820526,2.602234
